origem,destino,distancia_bellman_ford,distancia_dijkstra,diferenca_abs,coincide,tempo_bf,tempo_dijkstra
0,1610675,6.2966999999999995,6.2966999999999995,0.0,True,0.029910799999925075,0.004381200000352692
0,34698,6.7702,6.7702,0.0,True,0.029910799999925075,0.004381200000352692
0,1,0.050100000000000006,0.050100000000000006,0.0,True,0.029910799999925075,0.004381200000352692
3230,36990,6.261799999999999,6.261799999999999,0.0,True,0.028454600000259234,0.004377599998406367
34697,34698,0.1003,0.1003,0.0,True,0.026789699997607386,0.0046995999982755166
2,1607297,8.2461,8.2461,0.0,True,0.029462599999533268,0.004078900001331931
2,3,0.050100000000000006,0.050100000000000006,0.0,True,0.029462599999533268,0.004078900001331931
1,2,0.1003,0.1003,0.0,True,0.03012719999969704,0.0045809000002918765
